id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
1211,S,8,F,Branca
1212,N,2,M,Parda
1213,N,3,M,Branca
1216,S,2,F,Branca
1217,N,2,F,Branca
1218,S,4,M,Parda
1219,N,1,F,Branca
1220,N,8,F,Preta
1222,N,1,M,Parda
1224,N,8,M,Branca
1226,S,8,M,Branca
1230,S,6,M,Parda
1231,N,2,M,Parda
1232,N,8,M,Parda
1233,N,2,M,Branca
1235,S,1,M,Parda
1237,S,6,M,Branca
1239,N,2,M,Branca
1240,S,8,M,Branca
1241,S,1,F,Branca
1245,N,1,M,Preta
1246,N,10,F,Parda
1249,N,4,F,Branca
1251,N,2,F,Branca
1258,N,2,F,Branca
1259,N,1,F,Branca
1261,N,10,F,Parda
1263,N,6,M,Branca
1264,S,2,M,Branca
1265,S,10,F,Branca
1266,N,8,F,Branca
1267,N,8,F,Branca
1268,N,2,F,Branca
1270,S,1,F,Branca
1276,S,3,F,Parda
1279,N,8,F,Branca
1280,N,10,M,Branca
1282,N,6,M,Parda
1283,S,3,M,Branca
1288,N,2,F,Branca
1291,N,2,F,Branca
1293,N,5,F,Branca
1295,N,10,F,Parda
1296,N,2,F,Branca
1298,N,8,F,Parda
1299,N,1,F,Branca
1302,N,3,F,Preta
1304,N,2,M,Parda
1311,N,8,M,Parda
1314,N,9,M,Branca
1316,S,6,M,Branca
1322,N,1,M,Branca
1327,N,6,M,Branca
1328,N,4,M,Branca
1329,N,10,M,Branca
1331,N,4,M,Parda
1333,S,1,F,Parda
1334,N,2,F,Branca
1339,S,5,F,Branca
1340,N,2,F,Branca
1345,N,1,F,Branca
1347,S,10,F,Branca
1348,N,2,F,Branca
1351,N,8,F,Preta
1356,N,1,F,Parda
1360,N,1,F,Parda
1361,S,4,M,Branca
1362,S,3,M,Branca
1366,N,1,M,Parda
1368,S,6,M,Branca
1371,N,8,F,Branca
1374,S,1,F,Branca
1376,N,1,F,Branca
1377,N,10,F,Parda
1379,N,1,F,Branca
1384,S,10,F,Branca
1386,S,9,F,Parda
1387,N,9,M,Branca
1389,N,2,M,Parda
1390,N,4,M,Branca
1391,S,6,F,Branca
1398,N,6,M,Branca
1401,S,8,M,Branca
1402,N,8,F,Branca
1406,N,4,F,Branca
1407,N,1,F,Branca
1409,N,10,F,Branca
1410,N,4,F,Branca
1411,N,1,F,Branca
1414,N,3,F,Parda
1416,N,2,M,Parda
1430,N,6,F,Parda
1433,N,2,M,Branca
1435,N,1,M,Branca
1436,N,7,M,Parda
1437,S,4,M,Branca
1438,N,1,M,Branca
1439,S,10,M,Branca
1440,N,6,M,Parda
1442,N,2,M,Branca
1443,S,8,M,Branca
1447,N,6,F,Branca
1449,N,9,F,Branca
1453,N,4,F,Branca
1458,S,5,F,Parda
1465,N,1,F,Parda
1467,S,8,F,Parda
1468,N,1,M,Branca
1469,N,2,M,Branca
1470,N,2,M,Branca
1482,N,6,F,Parda
1484,N,2,F,Parda
1488,N,8,F,Parda
1489,N,4,F,Parda
1490,N,1,F,Parda
1492,N,4,F,Parda
1493,N,4,F,Parda
1495,S,1,F,Preta
1496,S,6,M,Branca
1504,N,6,M,Parda
1505,S,1,M,Branca
1506,S,2,M,Parda
1507,N,1,F,Preta
1509,N,2,M,Branca
1510,N,1,M,Branca
1517,S,8,F,Parda
1520,N,6,M,Branca
1522,N,2,M,Branca
1525,S,2,M,Branca
1528,N,2,F,Branca
1529,S,6,M,Branca
1536,N,4,M,Branca
1539,N,2,M,Parda
1542,S,2,F,Branca
1546,S,2,F,Branca
1548,S,8,F,Branca
1549,N,8,F,Amarela
1551,S,2,M,Preta
1556,S,2,M,Branca
1557,N,10,M,Branca
1558,N,7,M,Branca
1559,N,1,F,Parda
1561,S,1,M,Branca
1566,N,1,M,Parda
1568,S,1,F,Branca
1579,N,2,M,Parda
1580,N,4,F,Parda
1581,N,1,F,Branca
1582,N,6,F,Branca
1584,N,1,M,Branca
1586,N,1,F,Branca
1587,N,1,F,Branca
1590,S,2,M,Branca
1592,N,5,F,Branca
1593,N,8,F,Branca
1594,S,5,F,Branca
1596,N,2,F,Branca
1598,S,2,M,Branca
1599,S,1,F,Parda
1600,N,4,F,Amarela
1602,N,7,F,Parda
1603,N,6,F,Parda
1604,N,2,F,Branca
1608,N,2,M,Branca
1609,N,3,M,Parda
1612,S,3,M,Branca
1616,N,1,M,Preta
1618,N,6,F,Branca
1620,N,1,F,Branca
1622,N,2,M,Branca
1624,N,8,F,Parda
1629,N,4,M,Branca
1636,N,1,M,Branca
1639,N,2,M,Branca
1640,N,10,M,Preta
1641,N,10,M,Branca
1643,N,1,M,Branca
1645,N,2,M,Branca
1648,N,2,M,Branca
1649,N,1,F,Branca
1650,S,1,F,Branca
1651,S,8,F,Branca
1653,N,1,F,Branca
1656,N,8,F,Parda
1661,N,1,F,Branca
1667,S,1,F,Parda
1668,S,8,M,Branca
1669,N,4,M,Parda
1674,N,10,M,Branca
1677,N,2,F,Branca
1684,N,2,F,Parda
1695,S,2,M,Branca
1696,N,6,M,Branca
