id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
5993,20,2018,2,2805,Vestibular,Matemática,0,Evadido
5995,19,2018,1,1620,SISU,Gestão Financeira,0,Evadido
5996,21,2020,2,3210,SISU,Ciência da Computação,0,Matriculado
6003,18,2019,1,3000,SISU,Administração,0,Matriculado
6006,19,2021,0,3210,SISU,Ciência da Computação,0,Matriculado
6007,19,2019,2,1620,SISU,Gestão Financeira,2021,Formado
6008,20,2018,1,3210,Vestibular,Ciência da Computação,0,Matriculado
6009,19,2021,1,3210,SISU,Ciência da Computação,0,Matriculado
6011,19,2021,0,3210,SISU,Ciência da Computação,0,Matriculado
6013,20,2018,2,2805,Vestibular,Matemática,0,Evadido
6014,31,2021,15,3600,SISU,Engenharia Elétrica,0,Matriculado
6015,35,2019,18,1620,SISU,Gestão Financeira,0,Evadido
6019,29,2021,11,3000,SISU,Administração,0,Evadido
6024,19,2020,1,3600,SISU,Engenharia Elétrica,0,Matriculado
6025,18,2018,1,1620,Vestibular,Gestão Financeira,0,Evadido
6029,31,2018,9,3600,Vestibular,Engenharia Elétrica,0,Evadido
6032,18,2020,1,3210,SISU,Matemática,0,Evadido
6038,19,2021,2,3600,SISU,Engenharia Elétrica,0,Matriculado
6039,21,2018,3,3600,SISU,Engenharia Elétrica,0,Evadido
6041,20,2018,1,3600,Vestibular,Engenharia Elétrica,0,Evadido
6043,21,2019,3,1620,SISU,Gestão Financeira,0,Evadido
6052,18,2021,0,3000,SISU,Administração,0,Evadido
6054,19,2020,1,3000,SISU,Administração,0,Matriculado
6056,37,2022,20,3210,Obtenção de novo título,Matemática,0,Evadido
6057,19,2019,1,2805,SISU,Matemática,0,Matriculado
6058,20,2020,1,3210,SISU,Ciência da Computação,0,Matriculado
6061,20,2018,2,3600,SISU,Engenharia Elétrica,0,Matriculado
6062,19,2021,2,3210,SISU,Ciência da Computação,0,Matriculado
6066,18,2018,1,3600,SISU,Engenharia Elétrica,0,Matriculado
6068,18,2022,1,3600,SISU,Engenharia Elétrica,0,Evadido
6069,18,2019,1,1620,SISU,Gestão Financeira,2022,Formado
6071,21,2019,3,1620,SISU,Gestão Financeira,2021,Formado
6074,20,2019,2,3600,SISU,Engenharia Elétrica,0,Evadido
6076,19,2019,4,3000,SISU,Administração,0,Evadido
6078,18,2019,1,3210,SISU,Ciência da Computação,0,Matriculado
6079,21,2021,2,3210,SISU,Ciência da Computação,0,Matriculado
6080,23,2018,5,1620,SISU,Gestão Financeira,2021,Formado
6081,20,2020,3,3600,SISU,Engenharia Elétrica,0,Evadido
6082,39,2020,22,3600,SISU,Engenharia Elétrica,0,Evadido
6083,19,2019,1,1620,SISU,Gestão Financeira,2021,Formado
6085,18,2021,1,3000,SISU,Administração,0,Evadido
6088,43,2021,14,3210,SISU,Matemática,0,Evadido
6090,24,2020,7,1620,SISU,Gestão Financeira,2022,Formado
6093,19,2020,1,3600,SISU,Engenharia Elétrica,0,Matriculado
6094,19,2018,1,3000,Vestibular,Administração,2022,Formado
6095,20,2018,1,3600,SISU,Engenharia Elétrica,0,Matriculado
6097,26,2019,8,1620,SISU,Gestão Financeira,0,Evadido
6100,19,2021,19,3000,SISU,Administração,0,Evadido
6101,19,2020,1,3600,SISU,Engenharia Elétrica,0,Matriculado
6104,23,2019,5,2805,SISU,Matemática,0,Evadido
6107,19,2022,2,3600,SISU,Engenharia Elétrica,0,Evadido
6108,24,2019,7,3210,SISU,Ciência da Computação,0,Matriculado
6111,20,2018,2,2805,SISU,Matemática,0,Evadido
6116,19,2018,1,1620,Vestibular,Gestão Financeira,2020,Formado
6120,18,2020,1,1620,SISU,Gestão Financeira,2022,Formado
6124,20,2018,3,3210,SISU,Ciência da Computação,0,Evadido
6125,20,2018,3,3210,SISU,Ciência da Computação,0,Matriculado
6133,22,2021,4,3000,SISU,Administração,0,Matriculado
6134,19,2018,2,2805,SISU,Matemática,0,Evadido
6141,18,2021,1,3210,SISU,Ciência da Computação,0,Matriculado
6143,18,2018,1,3000,Vestibular,Administração,2022,Formado
6145,19,2019,1,1620,SISU,Gestão Financeira,2021,Formado
6146,20,2020,2,3210,SISU,Ciência da Computação,0,Matriculado
6149,19,2022,1,3000,SISU,Administração,0,Matriculado
6151,19,2018,1,3600,SISU,Engenharia Elétrica,0,Evadido
6152,19,2018,1,3600,Vestibular,Engenharia Elétrica,0,Matriculado
6153,20,2020,1,3210,SISU,Ciência da Computação,0,Evadido
6155,19,2018,2,3210,SISU,Ciência da Computação,0,Matriculado
6156,19,2022,1,3600,SISU,Engenharia Elétrica,0,Matriculado
