id,campus,curso,turno,ultima_avaliacao_mec,relacao_aluno_professor,perc_rfp_ate_1salmeio_curso,area_conhecimento,grau_academico
15473,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15474,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15475,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15476,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15478,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15479,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15482,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15483,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15484,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15486,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15487,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15490,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15492,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15495,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15496,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15497,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15498,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15499,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15502,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15503,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15504,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15505,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15507,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15508,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15509,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15511,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15512,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15513,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15515,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15516,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15517,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15519,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15521,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15522,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15523,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15524,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15526,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15529,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15531,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15532,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15534,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15536,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15537,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15540,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15541,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15544,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15545,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15546,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15547,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15548,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15549,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15551,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15553,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15555,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15556,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15557,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15558,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15559,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15560,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15561,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15562,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15564,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15566,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15568,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15569,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15570,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15571,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15573,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15575,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15577,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15578,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15581,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15582,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15583,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15584,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15585,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15586,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15587,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15588,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15589,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15590,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15591,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15592,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15594,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15597,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15598,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15599,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15600,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15601,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15602,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15604,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15606,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15612,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15613,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15615,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15617,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15618,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15622,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15624,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15625,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15627,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15632,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15634,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15635,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15637,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15638,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15639,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15641,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15642,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15643,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15644,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15645,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15646,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15647,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15648,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15650,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
