id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
3103,N,10,F,Branca
3118,N,8,F,Parda
3122,N,10,F,Branca
3125,N,10,M,Branca
3136,S,6,F,Parda
3141,S,10,F,Parda
3154,N,10,F,Parda
3157,N,1,F,Branca
3159,N,3,F,Branca
3172,N,8,F,Branca
3173,N,10,F,Parda
3179,N,10,F,Branca
3192,N,9,M,Parda
3204,N,9,M,Branca
3207,N,6,F,Branca
3213,N,7,F,Parda
3216,N,8,F,Preta
3225,S,4,F,Branca
3242,N,8,M,Branca
3247,S,1,M,Branca
3260,N,9,M,Preta
3279,N,2,F,Parda
3291,N,10,M,Parda
3314,N,10,M,Branca
3319,N,7,F,Parda
3320,N,2,F,Branca
3330,S,10,F,Indígena
3336,N,8,M,Preta
3339,S,2,F,Parda
3360,S,6,M,Branca
3361,S,3,M,Branca
3369,N,5,F,Branca
3371,N,3,M,Preta
3374,N,2,M,Parda
3377,N,7,F,Preta
3389,N,5,M,Parda
3394,S,5,F,Branca
3395,S,3,F,Branca
3407,N,5,F,Branca
3445,N,9,F,Branca
3483,N,11,M,Branca
3526,N,11,M,Branca
3535,N,5,M,Parda
3545,N,4,M,Parda
3577,S,9,F,Branca
3579,S,2,F,Branca
3614,N,7,M,Parda
3677,S,5,M,Branca
3692,S,5,M,Parda
3693,N,7,M,Branca
3698,N,3,F,Parda
3717,N,9,M,Parda
3718,S,9,F,Parda
3744,S,7,M,Branca
3748,N,11,M,Branca
3783,S,2,M,Branca
3861,N,8,M,Branca
4020,N,7,M,Preta
4069,N,7,M,Branca
4075,N,7,M,Parda
4105,S,8,F,Preta
4109,N,6,F,Branca
4115,N,7,F,Branca
4116,N,2,F,Parda
4128,N,1,F,Branca
4129,N,1,F,Branca
4135,N,6,F,Branca
4140,S,1,F,Parda
4150,S,2,F,Parda
4151,S,3,F,Parda
4158,N,1,M,Parda
4166,S,1,F,Preta
4167,S,7,F,Preta
4170,S,9,F,Branca
4174,N,8,M,Branca
4175,N,1,M,Branca
4183,S,1,F,Parda
4188,S,1,M,Branca
4200,N,5,M,Branca
4202,N,12,F,Branca
4203,N,1,F,Branca
4213,N,4,M,Parda
4216,N,1,M,Branca
4217,N,5,M,Branca
4219,N,4,F,Branca
4220,N,5,F,Branca
4222,N,1,M,Branca
4223,N,1,M,Branca
4226,N,3,F,Parda
4227,N,1,F,Parda
4234,N,4,M,Branca
4235,N,3,M,Branca
4237,N,1,F,Parda
4242,S,4,F,Parda
4243,S,5,F,Parda
4245,N,9,M,Preta
4247,N,5,F,Parda
4248,N,3,F,Parda
4250,S,2,M,Branca
4275,N,1,F,Parda
4286,N,8,F,Parda
4287,N,1,F,Parda
4294,N,5,F,Branca
4299,N,2,M,Parda
4304,N,16,M,Preta
4310,N,1,M,Preta
4324,N,2,F,Branca
4359,N,2,F,Branca
4363,N,4,F,Preta
4369,N,4,F,Branca
4373,S,4,F,Branca
4380,S,6,F,Parda
4384,S,1,M,Preta
4387,S,8,F,Parda
4393,S,4,F,Parda
4397,N,6,F,Branca
4398,N,3,F,Parda
4399,N,3,F,Preta
4414,S,10,F,Branca
4416,S,6,F,Parda
4438,N,3,M,Branca
4440,N,3,M,Parda
4444,N,5,M,Preta
4468,N,2,F,Parda
4481,N,6,F,Preta
4504,N,9,M,Parda
4517,N,7,F,Parda
4523,N,10,M,Parda
4526,N,6,M,Parda
4538,N,4,F,Parda
4557,S,9,M,Preta
4571,N,8,F,Parda
4578,N,8,F,Branca
4604,N,5,M,Parda
4633,N,8,F,Parda
4638,N,6,F,Branca
4648,N,2,M,Parda
4669,N,8,M,Parda
4672,N,10,M,Branca
4675,N,7,M,Parda
4676,S,8,F,Branca
4678,N,2,F,Parda
4685,N,1,M,Branca
4716,N,2,M,Branca
4719,N,6,M,Parda
4721,N,4,F,Preta
4742,S,6,F,Branca
4744,N,7,M,Branca
4764,S,4,M,Parda
4776,N,8,F,Preta
4788,N,1,M,Branca
4801,N,8,M,Parda
4811,N,6,F,Parda
4813,N,4,F,Branca
4817,N,4,F,Branca
4827,S,2,F,Branca
4835,N,9,F,Preta
4842,N,7,F,Parda
4846,S,6,F,Parda
4854,N,4,M,Parda
4855,S,1,M,Parda
4871,N,10,M,Branca
4874,N,2,F,Amarela
4887,N,5,F,Preta
4895,S,8,F,Branca
4897,N,10,F,Parda
4936,S,3,M,Branca
4949,N,4,M,Branca
4964,N,2,F,Preta
4969,S,6,F,Parda
5019,N,4,M,Parda
5025,N,8,F,Parda
5031,N,1,M,Branca
5047,S,8,F,Parda
5058,N,8,M,Branca
5072,N,2,M,Branca
5086,N,3,F,Parda
5112,N,6,M,Branca
5113,N,2,M,Preta
5123,N,8,M,Parda
5144,N,8,F,Parda
5146,N,4,F,Preta
5151,S,7,F,Parda
5154,N,2,F,Preta
5179,N,4,F,Parda
5185,S,8,F,Branca
5251,N,1,M,Parda
5260,S,4,M,Preta
5269,N,4,F,Parda
5311,N,6,F,Parda
5316,N,3,M,Parda
5317,N,2,M,Preta
5339,N,3,F,Parda
5346,S,4,F,Preta
5347,N,8,F,Parda
5350,N,9,F,Preta
5351,N,10,F,Branca
5364,N,1,F,Parda
5366,N,6,F,Branca
5377,N,10,M,Parda
5389,N,4,M,Branca
5397,N,2,F,Branca
5409,N,6,M,Branca
5428,N,6,M,Branca
5437,N,2,F,Branca
5458,S,4,M,Branca
5469,S,5,F,Parda
5482,N,3,F,Branca
5483,N,1,F,Branca
5493,S,11,M,Parda
5495,S,2,M,Parda
5496,S,3,M,Parda
5509,S,9,M,Branca
5515,S,3,M,Branca
5520,S,3,F,Parda
5535,N,8,M,Parda
5538,N,5,M,Branca
5545,S,4,M,Branca
5546,S,1,M,Branca
5567,S,7,M,Parda
5568,S,2,M,Parda
5570,S,3,M,Parda
5574,S,3,M,Branca
5580,S,4,M,Branca
